Year,US GDP,China GDP,US AI,China AI,US Action,China Action
2024,58.69963290780601,47.71804714159362,11.295613803600002,4.2720564096,None,None
2025,135.4441523641409,126.78296190095439,42.40080369846628,11.909604154869038,None,None
2026,312.164772669202,336.0413654095352,219.36894336241585,18.764639524295063,None,Drastic Action
2027,720.372490524228,892.0420729116248,7530.245984341191,32.95871661571998,None,Drastic Action
2028,2244.3249216278177,2369.3925707459193,2729641921.299199,72.1324259109811,None,Drastic Action
2029,2.0552133143403738e+17,6295.352953043015,1.1242109250033653e+31,277.5587666070004,None,Drastic Action
2030,1.3140528206680254e+96,16737.745889711674,3.2345676092278417e+117,6101.33234905298,Drastic Action,Drastic Action
2031,inf,53115.31797556972,inf,481960031.9250891,Drastic Action,Drastic Action
2032,inf,4.351183816117965e+16,inf,1.7700456332867982e+28,Drastic Action,Drastic Action
2033,inf,1.759091166590594e+87,inf,3.220163284987937e+106,Drastic Action,Drastic Action
